Date,ATM_WITHDRWLS_1WEEKAGO,HOLIDAY,AVG_ATM_WITHDRW_PREVMONTH,ATM_WITHDRWLS_2WEEKAGO,DAY_OF_WEEK,MONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,BRA_WITHDRWLS,BRA_DEPOSITS,IsSaturday,IsSunday
2006-05-26,-12754.87619177809,8667.982878732011,-4283.9198873166715,-6930.153881868936,-7359.901066111865,1093.3619623466998,-1690.719790164996,13554.137945462653,40240.67733078663,-1836.8107286946852,26841.328520489344,1898.5065553117975,5179.81047753328,13554.137945462653
2006-05-27,-12921.8919374563,8634.35388470653,-4663.5294926556235,-7639.0467941139805,-7309.191059379533,727.1739779952568,-1722.0832858408846,13542.51034109359,41050.840801137936,-638.3323338591977,27123.082361712506,1551.8475282734485,6237.608525873499,13542.510341093588
2006-05-28,-13630.255993570803,8074.47508678607,-6087.185044497907,-7333.250339270472,-6983.2116679108985,-3122.7238297568006,-975.9816622074303,13219.868733940799,40080.20245908866,4019.3101135799598,26560.555836908447,1458.1055476252834,6278.613576990795,13219.868733940799
2006-05-29,-13791.724379677993,7972.295387924952,-5163.359238628394,-7070.278601358857,-6277.98616536646,-840.5621304703109,-874.1164758822889,12966.338978161462,39955.259926718085,1037.5747592403561,26447.546153994168,1510.4314690277452,6104.244247801995,12966.338978161464
2006-05-30,-13964.929069772228,7958.583443455596,-4911.42193247117,-6877.477232479601,-6028.012913019222,-196.88688754604573,-630.1427959519453,12946.106355031121,39994.54464207417,134.92554410981597,26539.271671807943,1339.002772255797,6074.3417601250385,12946.106355031116
2006-05-31,-14138.540869005717,7997.898171821031,-5003.355020508741,-6605.229357496191,-5766.152234358581,-399.9481658542845,-94.56335320265066,13062.700834319483,40114.1703567673,231.56184981270872,27015.88460655932,345.16569454496766,6099.590103019986,13062.70083431949
2006-06-01,-13532.594324411122,8227.31103084608,-5342.31677766155,-6699.320900393823,-5836.1216731037175,-680.4595250044886,594.5677887374591,13401.558084301832,40548.92543807986,429.72639080682984,28118.78974418091,-786.269023288738,6200.600487210078,13401.55808430183
2006-06-02,-13469.897436250765,8212.502406689882,-5119.964581118906,-6820.449364227036,-6133.362775851787,-858.4333806687928,292.5364984964451,13428.6831419213,40691.076748173764,512.9442978477109,27987.827413952426,-424.79460920988186,6063.112355289321,13428.6831419213
2006-06-03,-12700.847525456722,8089.152818029098,-3536.581280348788,-6097.881883246049,-6010.364048008521,144.7164905090749,1846.65696582368,12719.515331290602,40957.52457898108,-141.92657972820643,27588.948045034354,830.8473688502809,7049.993729706366,12719.515331290615
2006-06-04,-12120.111634355924,8091.989816915533,-3288.8137607706362,-5797.37834304341,-5691.882504047422,2253.262138771548,1224.1962327219485,13573.393246412406,41047.28909975679,-923.4942092239089,27784.207609669098,39.65754952983491,6868.643061528086,13573.393246412408
2006-06-05,-13225.273745520411,7814.011445849624,-2029.1068757813932,-6210.859921738188,-4621.360462742492,2252.8231071884975,1041.5884960153383,13082.3078751304,40976.52694347864,-1127.7576193042896,26486.690269531708,1234.7663321605396,6831.392895954948,13082.307875130407
2006-06-06,-12981.935356251663,7929.23724153061,-2042.2132034943722,-6432.672661868527,-4428.445198484654,1717.3678230483106,1398.9767521958915,13166.212495738659,41195.09212236481,-942.9107781497064,26048.58284354052,1755.6429624649984,6745.828762835035,13166.212495738655
2006-06-07,-12829.959561481077,7958.683202114543,-2212.3304455335638,-6403.623787749348,-4387.3286561153955,1663.9649746316559,1432.9350172193194,13122.655083399715,41208.951424094026,-912.5073977891634,26000.373585327092,1742.491560822302,6634.898382178455,13122.655083399717
2006-06-08,-12281.773678858935,7924.561044543792,-2051.058520060438,-5646.800825526248,-3957.770297914251,651.115371747992,1967.2270281318952,13022.914095990858,40850.77012614564,-781.8188702353791,26403.5248164879,1344.5580386329216,6475.941950829493,13022.914095990862
2006-06-09,-12346.29200357133,7654.773667048766,-2231.530275599491,-4942.531387488667,-3874.569224221778,270.76099095103655,2060.1414955449463,12928.107669235847,40083.54760921942,-1056.2408326250538,26286.86994015609,1741.8689172340314,7241.606473968723,12928.107669235837
2006-06-10,-11962.391991431872,7974.484111025251,-2528.467914926836,-5356.070198633098,-4087.9216497891066,-56.523686086300586,2281.075750956172,13133.970622864717,40390.379257697845,-1158.1118515366006,26026.189933951537,1970.5433659895161,6956.325985965635,13133.970622864717
2006-06-11,-12142.871894108941,7825.015358119872,-2806.7907980464297,-5560.406621656058,-4104.008227456243,-691.3089703757687,2672.1898924735774,13094.925900474256,40059.877874999795,-1204.4990262245865,25941.75164659639,2105.510448112461,6985.104270303411,13094.925900474249
2006-06-12,-11820.96016276344,7820.547474461899,-2866.280834428413,-5007.615154282678,-4465.623457357256,-1013.0429954665351,2284.821936394409,13066.236865659272,40061.075185490714,-1323.8512462567346,25855.75539599742,2163.049574391808,6963.753634463641,13066.236865659246
2006-06-13,-11487.31935389359,4162.172153300522,-2591.599601739816,-3214.0695000235814,-3812.0487187432645,-2587.405920956746,2317.6717608217155,12112.246259535577,39114.18858361347,-1570.4878364597398,24363.61277936133,1132.251134347981,7255.035473404163,12112.246259535581
2006-06-14,-9531.194610936309,5936.429464238929,-3007.034934123083,-2758.014373977596,-6028.766670995436,-2064.6567185416934,16762.939437015826,20668.9453191137,51571.99627630311,-1659.3322743040626,47816.44410139122,-12428.033980951586,10097.132116807712,20668.9453191137
2006-06-15,-9991.034414340222,4696.975440679322,-3270.638309786311,-2198.719294948416,-5916.618599766314,-2874.73077585634,16100.996284299534,20134.649595375526,50792.77639678233,-1496.254321151886,46858.784023832806,-12109.946705860028,10058.844239229747,20134.649595375467
2006-06-16,-10583.396397010132,4104.570503875177,-3666.1061935311936,-2576.368132894877,-7285.82564170839,-3163.3625010735705,15177.183353427601,20443.08736501178,50520.67603298538,-1341.1112543122435,46327.20628734235,-11777.572133974001,11106.237551066748,20443.087365011896
2006-06-17,-10043.925427819297,2433.774695753091,-3104.6048119759544,-2952.3795826711503,-7643.763401280856,-3712.951192835215,13998.364221146538,19226.93219137046,49960.05279189967,-898.1005261516257,45657.37858162503,-12741.15544164276,10431.02094520496,19226.932191370517
