ATM_ID,Feature_Set,Best Ridge Alpha,MAE (Train/Test),RMSE (Train/Test),MAPE (Train/Test)
Z0241002,F0,200.0,53209.16 / 62803.01,67193.98 / 81202.58,59.44 / 47.76
Z0241002,F1,100.0,51635.37 / 61313.53,65488.77 / 75654.41,57.68 / 46.63
Z0241002,F2,50.0,49137.26 / 58354.52,62528.48 / 72007.69,54.89 / 44.38
Z0241002,F3,50.0,50621.65 / 58890.79,64402.33 / 72623.26,56.54 / 44.79
Z0241002,F4,10.0,45152.91 / 68379.12,58956.18 / 83858.90,44.57 / 46.64
Z0241002,F5,1.0,9471.70 / 20106.44,14488.65 / 31608.99,9.35 / 13.71
Z0951001,F0,10.0,38703.82 / 35746.89,47033.10 / 42529.81,50.36 / 46.35
Z0951001,F1,50.0,36994.22 / 34245.56,45058.03 / 41268.65,48.14 / 44.40
Z0951001,F2,10.0,31341.08 / 28750.92,39558.00 / 34023.86,40.78 / 37.28
Z0951001,F3,10.0,33847.31 / 31839.94,42265.18 / 38009.54,44.04 / 41.28
Z0951001,F4,10.0,28669.48 / 25252.58,36280.43 / 30319.82,31.55 / 27.37
Z0951001,F5,10.0,10179.49 / 11378.11,15699.17 / 19530.62,11.20 / 12.33
Z1031001,F0,200.0,25897.82 / 25641.67,33746.62 / 34657.20,76.09 / 75.13
Z1031001,F1,100.0,25194.12 / 25004.22,32544.81 / 34379.19,74.02 / 73.26
Z1031001,F2,50.0,23662.07 / 23679.99,31047.28 / 32974.12,69.52 / 69.38
Z1031001,F3,10.0,24625.44 / 24658.36,31898.91 / 33980.82,72.35 / 72.25
Z1031001,F4,10.0,20403.20 / 20441.06,27951.43 / 29457.34,50.36 / 50.45
Z1031001,F5,10.0,4909.20 / 6976.05,7794.02 / 12470.57,12.12 / 17.22
Z1119001,F0,500.0,64766.98 / 65120.31,78036.27 / 77865.83,72.31 / 71.36
Z1119001,F1,100.0,63892.35 / 64686.57,76940.81 / 76463.32,71.33 / 70.89
Z1119001,F2,50.0,60959.02 / 62807.48,73540.13 / 73541.46,68.06 / 68.83
Z1119001,F3,10.0,60777.14 / 62194.31,73377.68 / 73583.85,67.86 / 68.16
Z1119001,F4,1.0,36489.68 / 41150.40,47607.94 / 53812.73,35.02 / 38.73
Z1119001,F5,1.0,11069.09 / 11770.32,15019.05 / 15859.57,10.62 / 11.08
Z1899001,F0,500.0,34263.61 / 32483.27,43870.51 / 42029.42,70.51 / 66.83
Z1899001,F1,50.0,32711.24 / 32204.54,42072.03 / 41811.41,67.31 / 66.26
Z1899001,F2,10.0,29190.25 / 31018.13,38749.03 / 39894.53,60.07 / 63.82
Z1899001,F3,10.0,30868.23 / 31400.94,40578.42 / 40777.73,63.52 / 64.61
Z1899001,F4,10.0,22459.67 / 22388.49,31089.22 / 29368.77,38.38 / 39.55
Z1899001,F5,1.0,7488.76 / 7757.06,11544.97 / 10345.72,12.80 / 13.70
