ATM_ID,BRANCH_ID,DATE,DATE1,BRA_WITHDRWLS,empty,BRA_DEPOSITS,B_WITHDRWLS_SCALED,B_DEPOSITS_SCALED,ATM_WITHDRWLS,ATM_WITHDRWLS_SCALED,DAY_OF_WEEK,DAY_IN_MONTH,MONTH,YEAR,ATM_WITHDRWLS_1WEEKAGO,ATM_WITHDRWLS_2WEEKAGO,AVG_ATM_WITHDRW_PREVMONTH,FIRSTWORKDAY,LASTWORKDAY,BRA_WITHDRWL_RATIO,AVG_BRA_WITHDRWL_PREVMONTH,IsSaturday,IsSunday,HOLIDAY
Z0241002,241,25/02/2008,25/02/2008,5170578.7,1,4765100.6,0.2461,0.2284,193525,0.57,2,25,2,2008,165230,78115,141777.742,0,0,0.0374,4230615.619,0,0,0
Z0951001,951,25/02/2008,25/02/2008,1568476.06,1,1020922.41,0.0738,0.0481,160540,0.47,2,25,2,2008,61510,68050,84761.613,0,0,0.1024,1397777.08,0,0,0
Z1031001,1031,25/02/2008,25/02/2008,1472590.01,1,1188596.64,0.0692,0.0562,106440,0.31,2,25,2,2008,67700,14760,30773.548,0,0,0.0723,1228764.61,0,0,0
Z1119001,1119,25/02/2008,25/02/2008,1522469.43,1,961138.09,0.0716,0.0452,223025,0.65,2,25,2,2008,213465,28970,97201.774,0,0,0.1465,810102.5318,0,0,0
Z1899001,1899,25/02/2008,25/02/2008,1063472.92,1,385372.59,0.0497,0.0175,134225,0.39,2,25,2,2008,31620,15125,52936.29,0,0,0.1262,780301.4886,0,0,0
Z0241002,241,24/02/2008,,,0,,,,124330,0.36,1,24,2,2008,67640,40800,141221.935,1,0,,4230615.619,0,0,0
Z0951001,951,24/02/2008,,,0,,,,10450,0.03,1,24,2,2008,22940,25530,85129.032,1,0,,1397777.08,0,0,0
Z1031001,1031,24/02/2008,,,0,,,,43630,0.13,1,24,2,2008,4240,8880,30889.355,1,0,,1228764.61,0,0,0
Z1119001,1119,24/02/2008,,,0,,,,105310,0.31,1,24,2,2008,58045,12030,97115.484,1,0,,810102.5318,0,0,0
Z1899001,1899,24/02/2008,,,0,,,,52090,0.15,1,24,2,2008,14610,4920,52970.0,1,0,,780301.4886,0,0,0
Z0241002,241,23/02/2008,,,0,,,,105730,0.31,7,23,2,2008,86160,85940,139946.129,0,1,,4230615.619,0,1,0
Z0951001,951,23/02/2008,,,0,,,,111395,0.33,7,23,2,2008,43550,42355,83932.903,0,1,,1397777.08,0,1,0
Z1031001,1031,23/02/2008,,,0,,,,44420,0.13,7,23,2,2008,16630,9730,30683.871,0,1,,1228764.61,0,1,0
Z1119001,1119,23/02/2008,,,0,,,,209645,0.61,7,23,2,2008,97285,25645,96710.968,0,1,,810102.5318,0,1,0
Z1899001,1899,23/02/2008,,,0,,,,50045,0.15,7,23,2,2008,22800,13065,52558.387,0,1,,780301.4886,0,1,0
Z0241002,241,22/02/2008,22/02/2008,3962587.73,1,3302859.45,0.1883,0.158,199460,0.58,6,22,2,2008,86030,101440,139148.387,0,0,0.0503,4230615.619,1,0,0
Z0951001,951,22/02/2008,22/02/2008,1125110.32,1,772738.51,0.0526,0.0361,129145,0.38,6,22,2,2008,69540,76965,82980.323,0,0,0.1148,1397777.08,1,0,0
Z1031001,1031,22/02/2008,22/02/2008,1047018.06,1,1056745.97,0.0489,0.0498,85230,0.25,6,22,2,2008,13850,13380,30525.806,0,0,0.0814,1228764.61,1,0,0
Z1119001,1119,22/02/2008,22/02/2008,907968.06,1,674705.86,0.0422,0.0314,203270,0.59,6,22,2,2008,52335,42375,95846.935,0,0,0.2239,810102.5318,1,0,0
